file,status,variant,rank,layers,width,microbatch,liger,optimizer_implementation,step_ms,tokens_per_second,peak_allocated_gib,parameters,initialization_ms,commit
base-A-r0.25-mb1-native-grouped-s42.json,complete,A,0.25,12,1024,1,False,grouped,392.5774823874235,83468.87676529073,2.9348244667053223,169747696,485.17241328954697,20119e0d7e8741ecee012249f18e8026523fe06f
base-A-r0.25-mb16-native-grouped-s42.json,complete,A,0.25,12,1024,16,False,grouped,200.20129345357418,163675.27116968308,10.21861982345581,169747696,488.9267012476921,20119e0d7e8741ecee012249f18e8026523fe06f
base-A-r0.25-mb32-liger-grouped-s42.json,complete,A,0.25,12,1024,32,True,grouped,203.50388810038567,161019.03679879053,2.5154781341552734,169747696,3534.3811213970184,20119e0d7e8741ecee012249f18e8026523fe06f
base-A-r0.25-mb32-native-grouped-s42.json,complete,A,0.25,12,1024,32,False,grouped,190.14134258031845,172334.9575403564,17.353095054626465,169747696,483.27163979411125,20119e0d7e8741ecee012249f18e8026523fe06f
base-A-r0.25-mb4-native-grouped-s42.json,complete,A,0.25,12,1024,4,False,grouped,237.2888084501028,138093.3237560874,4.390757083892822,169747696,821.6479457914829,20119e0d7e8741ecee012249f18e8026523fe06f
base-A-r0.5-mb1-native-grouped-s42.json,complete,A,0.5,12,1024,1,False,grouped,658.2999564707279,49776.70247190894,4.090398788452148,255714544,661.2830832600594,20119e0d7e8741ecee012249f18e8026523fe06f
base-A-r0.5-mb16-native-grouped-s42.json,complete,A,0.5,12,1024,16,False,grouped,427.74623259902,76606.16875015228,11.21532392501831,255714544,660.9235964715481,20119e0d7e8741ecee012249f18e8026523fe06f
base-A-r0.5-mb32-liger-grouped-s42.json,complete,A,0.5,12,1024,32,True,grouped,428.23887802660465,76518.04094535144,3.5819811820983887,255714544,3856.572847813368,20119e0d7e8741ecee012249f18e8026523fe06f
base-A-r0.5-mb32-native-grouped-s42.json,complete,A,0.5,12,1024,32,False,grouped,417.6821317523718,78452.00340640481,18.014594078063965,255714544,650.3677926957607,20119e0d7e8741ecee012249f18e8026523fe06f
base-A-r0.5-mb4-native-grouped-s42.json,complete,A,0.5,12,1024,4,False,grouped,472.5874476134777,69337.43313550061,5.390329837799072,255714544,639.5903341472149,20119e0d7e8741ecee012249f18e8026523fe06f
base-B-r0.25-mb1-native-grouped-s42.json,complete,B,0.25,12,1024,1,False,grouped,337.55410462617874,97074.80831046739,2.6341652870178223,142812460,403.60454469919205,20119e0d7e8741ecee012249f18e8026523fe06f
base-B-r0.25-mb16-native-grouped-s42.json,complete,B,0.25,12,1024,16,False,grouped,159.79091078042984,205067.98595665838,9.91777753829956,142812460,399.861603975296,20119e0d7e8741ecee012249f18e8026523fe06f
base-B-r0.25-mb32-liger-grouped-s42.json,complete,B,0.25,12,1024,32,True,grouped,164.29936699569225,199440.81945765775,2.3151607513427734,142812460,3477.6991084218025,20119e0d7e8741ecee012249f18e8026523fe06f
base-B-r0.25-mb32-native-grouped-s42.json,complete,B,0.25,12,1024,32,False,grouped,151.6847163438797,216027.0463791471,17.150946617126465,142812460,409.7158908843994,20119e0d7e8741ecee012249f18e8026523fe06f
base-B-r0.25-mb4-native-grouped-s42.json,complete,B,0.25,12,1024,4,False,grouped,195.4973917454481,167613.48996379616,4.091257572174072,142812460,473.05867448449135,20119e0d7e8741ecee012249f18e8026523fe06f
base-B-r0.5-mb1-native-grouped-s42.json,complete,B,0.5,12,1024,1,False,grouped,532.6428152620792,61519.65082772347,3.4646663665771484,201844012,522.0236666500568,20119e0d7e8741ecee012249f18e8026523fe06f
base-B-r0.5-mb16-native-grouped-s42.json,complete,B,0.5,12,1024,16,False,grouped,312.4477453529835,104875.13679736546,10.58922529220581,201844012,493.7673732638359,20119e0d7e8741ecee012249f18e8026523fe06f
base-B-r0.5-mb32-liger-grouped-s42.json,complete,B,0.5,12,1024,32,True,grouped,316.5505863726139,103515.8405270821,3.1963610649108887,201844012,3752.0284205675125,20119e0d7e8741ecee012249f18e8026523fe06f
base-B-r0.5-mb32-native-grouped-s42.json,complete,B,0.5,12,1024,32,False,grouped,304.4653758406639,107624.71752743189,17.601874351501465,201844012,497.6658895611763,20119e0d7e8741ecee012249f18e8026523fe06f
