model	variant	rank_profile	mode_layout	parameters	difference_from_dense	microbatch	status	median_ms	forward_ms	backward_ms	forward_backward_ms	forward_backward_tokens_per_second	optimizer_ms	retraction_ms	forward_backward_peak_gb	full_peak_gb	reserved_gb	state_gb	model_gb	grad_clip_ms	state_dtypes	gpu
257m	tucker_parallel	progressive_133m_rank8	order3_input	133002112	-124186752	1	complete	1473.478	600.515	692.084	1295.192	12649.9	80.28	95.528	3.073	3.073	5.142	0.944	0.532	1.923	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	order3_input	133002112	-124186752	16	complete	417.973	102.656	148.873	251.514	65141.5	68.556	96.873	8.951	8.951	11.474	0.944	0.532	0.682	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	order3_output	132999936	-124188928	1	complete	1536.334	614.054	729.264	1342.715	12202.1	80.494	109.892	3.071	3.071	5.142	0.944	0.532	2.57	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	order3_output	132999936	-124188928	16	complete	438.683	91.827	173.206	265.046	61815.8	61.522	111.219	8.949	8.949	11.536	0.944	0.532	0.685	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	order3_paired	132999680	-124189184	1	complete	1728.865	635.223	962.599	1598.062	10252.4	76.823	50.247	3.077	3.077	4.758	0.944	0.532	2.652	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	order3_paired	132999680	-124189184	16	complete	248.806	54.942	82.956	137.93	118784.6	58.844	51.049	8.949	8.949	11.023	0.944	0.532	0.697	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	balanced4	132998816	-124190048	1	complete	1445.2	603.911	731.589	1336.361	12260.2	83.689	20.893	3.094	3.094	4.658	0.944	0.532	2.841	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	balanced4	132998816	-124190048	16	complete	226.054	49.422	87.788	137.27	119355.8	67.29	21.026	8.953	8.953	10.918	0.944	0.532	0.733	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_input	225000704	-32188160	1	complete	1872.715	646.257	753.577	1400.919	11695.2	84.87	384.373	4.194	5.602	9.297	1.312	0.9	3.229	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_input	225000704	-32188160	16	complete	739.877	110.152	173.917	284.314	57626.3	70.307	384.256	9.717	9.717	15.313	1.312	0.9	1.093	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_output	224997120	-32191744	1	complete	1854.404	635.735	751.298	1389.72	11789.5	96.228	365.184	4.203	4.51	7.055	1.312	0.9	3.173	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_output	224997120	-32191744	16	complete	756.35	100.992	203.839	304.857	53743.2	84.43	365.302	9.696	9.696	13.009	1.312	0.9	1.09	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_paired	224999552	-32189312	1	complete	1780.39	629.046	965.496	1595.603	10268.2	78.82	102.931	4.212	4.212	5.706	1.312	0.9	2.896	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_paired	224999552	-32189312	16	complete	314.611	55.45	88.236	143.566	114121.7	65.532	103.905	9.702	9.702	11.591	1.312	0.9	1.104	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	balanced4	225023872	-32164992	1	complete	1468.723	606.901	741.736	1348.219	12152.3	88.357	28.123	4.207	4.207	5.597	1.312	0.9	3.261	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	balanced4	225023872	-32164992	16	complete	275.102	58.155	112.989	171.243	95677.0	73.35	28.715	9.896	9.896	11.776	1.312	0.9	1.125	float32	NVIDIA H100 80GB HBM3
