model	variant	rank_profile	mode_layout	parameters	difference_from_dense	microbatch	status	median_ms	forward_ms	backward_ms	forward_backward_ms	forward_backward_tokens_per_second	optimizer_ms	retraction_ms	forward_backward_peak_gb	full_peak_gb	reserved_gb	state_gb	model_gb	grad_clip_ms	state_dtypes	gpu
257m	tucker_parallel	progressive_133m_rank8	order3_input	133002112	-124186752	1	complete	1561.192	642.593	735.74	1377.906	11890.5	84.571	95.179	3.073	3.073	5.142	0.944	0.532	3.106	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	order3_input	133002112	-124186752	16	complete	417.556	102.637	149.133	251.773	65074.6	68.316	96.635	8.951	8.951	11.474	0.944	0.532	0.682	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	order3_output	132999936	-124188928	1	complete	1529.26	611.924	724.09	1335.724	12266.0	80.308	110.294	3.071	3.071	5.142	0.944	0.532	2.549	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	order3_output	132999936	-124188928	16	complete	434.227	91.64	173.03	264.521	61938.4	57.778	111.05	8.949	8.949	11.536	0.944	0.532	0.682	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	order3_paired	132999680	-124189184	1	complete	1329.13	637.818	556.735	1193.392	13729.0	82.038	50.365	3.751	3.751	5.415	0.944	0.532	2.817	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	order3_paired	132999680	-124189184	16	complete	236.881	55.018	73.727	128.907	127099.3	55.372	51.618	9.629	9.629	11.604	0.944	0.532	0.707	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	balanced4	132998816	-124190048	1	complete	1500.948	622.911	767.716	1390.17	11785.6	86.034	20.877	3.094	3.094	4.658	0.944	0.532	3.358	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	balanced4	132998816	-124190048	16	complete	225.354	49.529	87.763	137.253	119370.6	66.027	21.25	8.953	8.953	10.918	0.944	0.532	0.735	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_input	225000704	-32188160	1	complete	1768.703	602.488	696.582	1298.86	12614.3	81.867	384.187	4.194	5.602	9.297	1.312	0.9	2.211	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_input	225000704	-32188160	16	complete	742.474	110.581	174.008	284.51	57586.7	72.623	384.429	9.717	9.717	15.313	1.312	0.9	1.094	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_output	224997120	-32191744	1	complete	1818.101	621.464	732.391	1357.652	12068.0	93.95	364.438	4.203	4.51	7.055	1.312	0.9	2.69	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_output	224997120	-32191744	16	complete	758.791	101.386	203.763	305.233	53677.0	88.062	364.687	9.696	9.696	13.009	1.312	0.9	1.089	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_paired	224999552	-32189312	1	complete	1403.099	650.585	559.122	1210.825	13531.3	84.607	103.589	5.341	5.341	6.841	1.312	0.9	3.467	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_paired	224999552	-32189312	16	complete	304.851	55.641	76.655	132.039	124084.8	66.634	104.787	10.842	10.842	12.753	1.312	0.9	1.115	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	balanced4	225023872	-32164992	1	complete	1419.567	584.827	717.153	1301.42	12589.3	87.049	28.144	4.207	4.207	5.597	1.312	0.9	2.383	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	balanced4	225023872	-32164992	16	complete	273.24	58.178	113.786	171.968	95273.5	71.243	29.074	9.896	9.896	11.776	1.312	0.9	1.128	float32	NVIDIA H100 80GB HBM3
