model	variant	rank_profile	mode_layout	parameters	difference_from_dense	microbatch	status	median_ms	forward_ms	backward_ms	forward_backward_ms	forward_backward_tokens_per_second	optimizer_ms	retraction_ms	forward_backward_peak_gb	full_peak_gb	reserved_gb	state_gb	model_gb	grad_clip_ms	state_dtypes	gpu
257m	tucker_parallel	progressive_133m_rank8	order3_input	133002112	-124186752	1	complete	1564.034	635.973	743.492	1378.916	11881.8	85.826	95.831	3.073	3.073	5.142	0.944	0.532	2.826	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	order3_input	133002112	-124186752	16	complete	419.92	103.934	151.91	255.807	64048.3	67.509	95.828	8.951	8.951	11.474	0.944	0.532	0.68	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	order3_output	132999936	-124188928	1	complete	1527.432	606.321	728.517	1331.309	12306.7	81.861	110.282	3.071	3.071	5.142	0.944	0.532	1.994	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	order3_output	132999936	-124188928	16	complete	439.783	93.123	174.951	268.005	61133.2	60.454	109.903	8.949	8.949	11.536	0.944	0.532	0.681	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	balanced4	132998816	-124190048	1	complete	1524.897	620.232	796.508	1415.708	11573.0	83.412	20.178	3.095	3.095	4.716	0.944	0.532	3.779	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_133m_rank8	balanced4	132998816	-124190048	16	complete	231.085	50.504	89.902	140.349	116737.8	68.288	21.607	8.953	8.953	10.918	0.944	0.532	0.74	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_input	225000704	-32188160	1	complete	1783.611	614.814	701.862	1314.319	12465.8	83.445	383.048	4.194	5.602	9.297	1.312	0.9	2.57	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_input	225000704	-32188160	16	complete	752.218	112.734	179.693	292.18	56075.0	73.802	384.338	9.717	9.717	15.313	1.312	0.9	1.091	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_output	224997120	-32191744	1	complete	1879.782	640.511	771.703	1412.65	11598.1	97.399	364.65	4.203	4.51	7.055	1.312	0.9	3.135	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	order3_output	224997120	-32191744	16	complete	767.842	103.99	210.64	314.632	52073.6	88.856	363.397	9.696	9.696	13.009	1.312	0.9	1.089	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	balanced4	225023872	-32164992	1	complete	1511.377	610.874	778.603	1388.735	11797.8	92.442	27.318	4.207	4.207	5.65	1.312	0.9	2.782	float32	NVIDIA H100 80GB HBM3
257m	tucker_parallel	progressive_225m_rank8	balanced4	225023872	-32164992	16	complete	275.69	59.124	116.29	175.362	93429.4	70.127	28.931	9.896	9.896	11.776	1.312	0.9	1.13	float32	NVIDIA H100 80GB HBM3
